analysis_names	sum_matches	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	relRFdist
43	iqtrAF_FAMSA3di_BothTrim35	25	0.797824639289678	0.797824639289678	0.797824639289678	0.797824639289678	0.797824639289678	0.663650799512537	0.797824639289678	0.797824639289678	0.797824639289678	0.797824639289678
44	iqtrAF_FAMSA3di_BothTrim35_allmodels	21	0.789416887219329	0.789416887219329	0.789416887219329	0.789416887219329	0.789416887219329	0.652096397913617	0.789416887219329	0.789416887219329	0.789416887219329	0.789416887219329
45	iqtrAF_FAMSA3di_BothTrim35NonPart	22	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556	0.679615465138622	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556
46	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	22	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556	0.679615465138622	0.809251259284556	0.809251259284556	0.809251259284556	0.809251259284556
47	iqtrAF_USaln_3diFull	21	0.715365832835311	0.715365832835311	0.715365832835311	0.715365832835311	0.715365832835311	0.556863464416638	0.715365832835311	0.715365832835311	0.715365832835311	0.715365832835311
48	iqtrAF_USaln_3diFull_allmodels	20	0.72902928370187	0.72902928370187	0.72902928370187	0.72902928370187	0.72902928370187	0.573600378319702	0.72902928370187	0.72902928370187	0.72902928370187	0.72902928370187
49	iqtrAF_USaln_3diTrim35	22	0.71707333731751	0.71707333731751	0.71707333731751	0.71707333731751	0.71707333731751	0.558935563641784	0.71707333731751	0.71707333731751	0.71707333731751	0.71707333731751
50	iqtrAF_USaln_3diTrim35_allmodels	18	0.732324767352514	0.732324767352514	0.732324767352514	0.732324767352514	0.732324767352514	0.577691153453464	0.732324767352514	0.732324767352514	0.732324767352514	0.732324767352514
51	iqtrAF_USaln_AAfull	25	0.8862733714676	0.8862733714676	0.8862733714676	0.8862733714676	0.8862733714676	0.795772812431967	0.8862733714676	0.8862733714676	0.8862733714676	0.8862733714676
52	iqtrAF_USaln_AAfull_allmodels	25	0.880471271237087	0.880471271237087	0.880471271237087	0.880471271237087	0.880471271237087	0.786465991105037	0.880471271237087	0.880471271237087	0.880471271237087	0.880471271237087
53	iqtrAF_USaln_AA_trim35	24	0.905663792367455	0.905663792367455	0.905663792367455	0.905663792367455	0.905663792367455	0.827591910101139	0.905663792367455	0.905663792367455	0.905663792367455	0.905663792367455
54	iqtrAF_USaln_AA_trim35_allmodels	26	0.894018611798856	0.894018611798856	0.894018611798856	0.894018611798856	0.894018611798856	0.808348694956756	0.894018611798856	0.894018611798856	0.894018611798856	0.894018611798856
55	iqtrAF_USaln_BothFull	25	0.858857679501409	0.858857679501409	0.858857679501409	0.858857679501409	0.858857679501409	0.75262976762281	0.858857679501409	0.858857679501409	0.858857679501409	0.858857679501409
56	iqtrAF_USaln_BothFull_allmodels	25	0.8925467429352	0.8925467429352	0.8925467429352	0.8925467429352	0.8925467429352	0.805945295877147	0.8925467429352	0.8925467429352	0.8925467429352	0.8925467429352
57	iqtrAF_USaln_BothFullNonPart	24	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303	0.834208704857294	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303
58	iqtrAF_USaln_BothFullNonPart_allmodels	24	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303	0.834208704857294	0.9096115427303	0.9096115427303	0.9096115427303	0.9096115427303
59	iqtrAF_USaln_BothTrim35	27	0.910758985742338	0.910758985742338	0.910758985742338	0.910758985742338	0.910758985742338	0.836140921817047	0.910758985742338	0.910758985742338	0.910758985742338	0.910758985742338
60	iqtrAF_USaln_BothTrim35_allmodels	26	0.876711346367284	0.876711346367284	0.876711346367284	0.876711346367284	0.876711346367284	0.780486247708458	0.876711346367284	0.876711346367284	0.876711346367284	0.876711346367284
61	iqtrAF_USaln_BothTrim35NonPart	26	0.927635960044395	0.927635960044395	0.927635960044395	0.927635960044395	0.927635960044395	0.865038294348996	0.927635960044395	0.927635960044395	0.927635960044395	0.927635960044395
62	iqtrAF_USaln_BothTrim35NonPart_allmodels	25	0.927465209596175	0.927465209596175	0.927465209596175	0.927465209596175	0.927465209596175	0.864741375193033	0.927465209596175	0.927465209596175	0.927465209596175	0.927465209596175
