analysis_names	sum_matches	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	relRFdist
22	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	37	0.983177665841373	0.983177665841373	0.983177665841373	0.983177665841373	0.983177665841373	0.966911949917884	0.983177665841373	0.983177665841373	0.983177665841373	0.983177665841373
23	iqtree_USaln_3di_Full	22	0.761724579527021	0.761724579527021	0.761724579527021	0.761724579527021	0.761724579527021	0.615149559567345	0.761724579527021	0.761724579527021	0.761724579527021	0.761724579527021
24	iqtree_USaln_3di_Trim	23	0.769206864168018	0.769206864168018	0.769206864168018	0.769206864168018	0.769206864168018	0.624968438459852	0.769206864168018	0.769206864168018	0.769206864168018	0.769206864168018
25	iqtree_USaln_AAs_Full	36	0.947586442414411	0.947586442414411	0.947586442414411	0.947586442414411	0.947586442414411	0.900393610082648	0.947586442414411	0.947586442414411	0.947586442414411	0.947586442414411
26	iqtree_USaln_AAs_Trim	37	0.955475113122172	0.955475113122172	0.955475113122172	0.955475113122172	0.955475113122172	0.914746144515682	0.955475113122172	0.955475113122172	0.955475113122172	0.955475113122172
27	iqtree_USaln_Both_Full	34	0.840252710663365	0.840252710663365	0.840252710663365	0.840252710663365	0.840252710663365	0.724513623260101	0.840252710663365	0.840252710663365	0.840252710663365	0.840252710663365
28	iqtree_USaln_Both_Full_allmodels	32	0.82844702467344	0.82844702467344	0.82844702467344	0.82844702467344	0.82844702467344	0.707135777998018	0.82844702467344	0.82844702467344	0.82844702467344	0.82844702467344
29	iqtree_USaln_Both_Trim	33	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797	0.699294632416733	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797
30	iqtree_USaln_Both_Trim_allmodels	33	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797	0.699294632416733	0.823041065482797	0.823041065482797	0.823041065482797	0.823041065482797
31	iqtrAF_FAMSA3di_3diFull	23	0.792101084265346	0.792101084265346	0.792101084265346	0.792101084265346	0.792101084265346	0.655767692103262	0.792101084265346	0.792101084265346	0.792101084265346	0.792101084265346
32	iqtrAF_FAMSA3di_3diFull_allmodels	19	0.780517373858106	0.780517373858106	0.780517373858106	0.780517373858106	0.780517373858106	0.640039765328554	0.780517373858106	0.780517373858106	0.780517373858106	0.780517373858106
33	iqtrAF_FAMSA3di_3diTrim35	21	0.797028942200973	0.797028942200973	0.797028942200973	0.797028942200973	0.797028942200973	0.662550388917277	0.797028942200973	0.797028942200973	0.797028942200973	0.797028942200973
34	iqtrAF_FAMSA3di_3diTrim35_allmodels	19	0.768564842482712	0.768564842482712	0.768564842482712	0.768564842482712	0.768564842482712	0.624121244054965	0.768564842482712	0.768564842482712	0.768564842482712	0.768564842482712
35	iqtrAF_FAMSA3di_AAfull	24	0.844702467343977	0.844702467343977	0.844702467343977	0.844702467343977	0.844702467343977	0.731155778894472	0.844702467343977	0.844702467343977	0.844702467343977	0.844702467343977
36	iqtrAF_FAMSA3di_AAfull_allmodels	23	0.844531716895757	0.844531716895757	0.844531716895757	0.844531716895757	0.844531716895757	0.730899955667208	0.844531716895757	0.844531716895757	0.844531716895757	0.844531716895757
37	iqtrAF_FAMSA3di_AA_trim35	24	0.886341671646888	0.886341671646888	0.886341671646888	0.886341671646888	0.886341671646888	0.795882946394895	0.886341671646888	0.886341671646888	0.886341671646888	0.886341671646888
38	iqtrAF_FAMSA3di_AA_trim35_allmodels	22	0.848581917527534	0.848581917527534	0.848581917527534	0.848581917527534	0.848581917527534	0.736988527838085	0.848581917527534	0.848581917527534	0.848581917527533	0.848581917527534
39	iqtrAF_FAMSA3di_BothFull	26	0.814571843251089	0.814571843251089	0.814571843251089	0.814571843251089	0.814571843251089	0.687154121161663	0.814571843251089	0.814571843251089	0.814571843251089	0.814571843251089
40	iqtrAF_FAMSA3di_BothFull_allmodels	22	0.80292666268249	0.80292666268249	0.80292666268249	0.80292666268249	0.80292666268249	0.670741413789857	0.80292666268249	0.80292666268249	0.80292666268249	0.80292666268249
41	iqtrAF_FAMSA3di_BothFullNonPart	24	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692	0.679326491579711	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692
42	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	24	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692	0.679326491579711	0.809046358746692	0.809046358746692	0.809046358746692	0.809046358746692
