Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
cpREV+F+I+R4     -26918.092   54094.183 - 3.04e-194   54227.279 - 3.03e-193   54603.143 - 7.07e-193
cpREV+F+I+R6     -26907.575   54081.150 - 2.06e-191   54224.876 - 1.01e-192   54605.891 - 1.79e-193
Q.pfam+I+R5      -26971.356   54166.712 - 5.42e-210   54260.809 - 1.59e-200   54608.599 - 4.62e-194
cpREV+F+R6       -26912.180   54088.361 - 5.6e-193   54229.373 - 1.06e-193   54609.156 - 3.49e-194
Q.pfam+R5        -26974.781   54171.562 - 4.8e-211   54263.651 - 3.83e-201   54609.503 - 2.94e-194
Q.pfam+I+R4      -26981.315   54182.630 - 1.9e-213   54272.741 - 4.07e-203   54616.626 - 8.34e-196
Q.pfam+R6        -26973.230   54172.459 - 3.06e-211   54268.594 - 3.24e-202   54618.292 - 3.63e-196
Q.pfam+I+R6      -26970.590   54169.179 - 1.58e-210   54267.381 - 5.94e-202   54618.957 - 2.6e-196
JTT+R5           -26988.018   54198.036 - 8.55e-217   54290.125 - 6.84e-207   54635.978 - 5.24e-200
JTT+I+R5         -26986.061   54196.122 - 2.23e-216   54290.219 - 6.52e-207   54638.009 - 1.9e-200
JTT+R6           -26987.576   54201.153 - 1.8e-217   54297.287 - 1.9e-208   54646.985 - 2.13e-202
JTT+I+R6         -26984.808   54197.616 - 1.06e-216   54295.818 - 3.97e-208   54647.394 - 1.74e-202
JTT+I+R4         -26998.504   54217.008 - 6.49e-221   54307.119 - 1.4e-210   54651.004 - 2.86e-203
JTTDCMut+R5      -26995.791   54213.582 - 3.6e-220   54305.671 - 2.88e-210   54651.523 - 2.21e-203
JTTDCMut+I+R5    -26993.833   54211.666 - 9.39e-220   54305.763 - 2.75e-210   54653.553 - 7.99e-204
JTTDCMut+I+R6    -26992.461   54212.923 - 5.01e-220   54311.125 - 1.88e-211   54662.701 - 8.25e-206
JTTDCMut+R6      -26995.572   54217.145 - 6.06e-221   54313.279 - 6.41e-212   54662.977 - 7.18e-206
JTTDCMut+I+R4    -27006.775   54233.549 - 1.66e-224   54323.660 - 3.57e-214   54667.545 - 7.32e-207
Q.insect+I+R5    -27022.571   54269.143 - 3.1e-232   54363.239 - 9.08e-223   54711.030 - 2.64e-216
Q.insect+I+R4    -27029.784   54279.569 - 1.69e-234   54369.679 - 3.63e-224   54713.565 - 7.44e-217
Q.insect+R5      -27027.358   54276.717 - 7.03e-234   54368.806 - 5.62e-224   54714.659 - 4.3e-217
Q.insect+I+R6    -27020.927   54269.854 - 2.17e-232   54368.057 - 8.17e-224   54719.632 - 3.58e-218
Q.insect+R6      -27026.236   54278.472 - 2.92e-234   54374.606 - 3.09e-225   54724.305 - 3.46e-219
DCMut+F+I+R4     -27013.219   54284.439 - 1.48e-235   54417.534 - 1.47e-234   54793.398 - 3.43e-234
DCMut+F+R5       -27010.538   54281.076 - 7.95e-235   54416.774 - 2.15e-234   54793.981 - 2.57e-234
DCMut+F+I+R5     -27007.899   54277.797 - 4.1e-234   54416.133 - 2.97e-234   54794.647 - 1.84e-234
Dayhoff+F+I+R4   -27019.937   54297.874 - 1.79e-238   54430.970 - 1.78e-237   54806.834 - 4.15e-237
Dayhoff+F+R5     -27017.636   54295.271 - 6.57e-238   54430.969 - 1.78e-237   54808.176 - 2.12e-237
Dayhoff+F+I+R5   -27015.138   54292.275 - 2.94e-237   54430.611 - 2.13e-237   54809.125 - 1.32e-237
DCMut+F+R6       -27013.002   54290.004 - 9.15e-237   54431.016 - 1.74e-237   54810.800 - 5.72e-238
LG+I+R5          -27074.531   54373.063 - 8.43e-255   54467.159 - 2.47e-245   54814.950 - 7.18e-239
LG+R5            -27078.679   54379.358 - 3.62e-256   54471.447 - 2.89e-246   54817.299 - 2.22e-239
LG+I+R6          -27071.247   54370.494 - 3.04e-254   54468.696 - 1.14e-245   54820.272 - 5.01e-240
LG+R6            -27074.520   54375.040 - 3.14e-255   54471.174 - 3.32e-246   54820.872 - 3.71e-240
LG+I+R4          -27085.302   54390.603 - 1.31e-258   54480.714 - 2.81e-248   54824.600 - 5.76e-241
Dayhoff+F+R6     -27020.194   54304.388 - 6.89e-240   54445.400 - 1.31e-240   54825.183 - 4.3e-241
LG+R4            -27093.640   54405.279 - 8.51e-262   54493.441 - 4.85e-251   54835.330 - 2.69e-243
LG+I+G4          -27106.442   54422.883 - 1.28e-265   54503.535 - 3.11e-253   54837.152 - 1.08e-243
LG+G4            -27120.941   54449.883 - 1.76e-271   54528.728 - 1.05e-258   54860.207 - 1.07e-248
rtREV+R5         -27104.021   54430.043 - 3.57e-267   54522.132 - 2.85e-257   54867.985 - 2.19e-250
rtREV+R6         -27098.184   54422.367 - 1.66e-265   54518.502 - 1.75e-256   54868.200 - 1.96e-250
rtREV+I+R5       -27101.211   54426.422 - 2.18e-266   54520.519 - 6.39e-257   54868.309 - 1.86e-250
rtREV+I+R6       -27095.551   54419.101 - 8.48e-265   54517.303 - 3.19e-256   54868.879 - 1.4e-250
LG+I+R3          -27116.697   54449.394 - 2.24e-271   54535.636 - 3.33e-260   54875.500 - 5.1e-252
rtREV+I+R4       -27112.975   54445.951 - 1.25e-270   54536.062 - 2.69e-260   54879.947 - 5.52e-253
LG+R3            -27136.348   54486.695 - 1.78e-279   54571.046 - 6.82e-268   54908.855 - 2.91e-259
DCMut+R5         -27191.476   54604.953 - 3.73e-305   54697.042 - 2.98e-295   55042.895 - 2.28e-288
DCMut+I+R5       -27189.546   54603.093 - 9.45e-305   54697.189 - 2.77e-295   55044.980 - 8.04e-289
DCMut+I+R4       -27198.130   54616.261 - 1.31e-307   54706.372 - 2.81e-297   55050.257 - 5.75e-290
Q.yeast+R5       -27197.825   54617.650 - 6.52e-308   54709.739 - 5.21e-298   55055.592 - 3.99e-291
Q.yeast+I+R5     -27195.221   54614.442 - 3.24e-307   54708.539 - 9.49e-298   55056.330 - 2.76e-291
DCMut+R6         -27192.459   54610.919 - 1.89e-306   54707.053 -   2e-297   55056.751 - 2.24e-291
DCMut+I+R6       -27191.121   54610.242 - 2.65e-306   54708.444 - 9.95e-298   55060.020 - 4.36e-292
Dayhoff+R5       -27200.179   54622.359 - 6.19e-309   54714.448 - 4.95e-299   55060.300 - 3.79e-292
Dayhoff+I+R5     -27198.800   54621.600 - 9.05e-309   54715.697 - 2.65e-299   55063.487 - 7.7e-293
